"idno"	"chip_meth"	"pos_meth"	"site"	"bcell"	"tcell"	"nkcell"	"neutro"
3010139	5859594016	"R02"	"WFU"	0.0869911403539176	0.00135457303857822	0.0956507609814223	0.197153088526109
3010597	6229076077	"R01"	"WFU"	0.0998049458822815	0.0006501950585176	0.191843145750961	0.276939510352758
3010627	6229076111	"R02"	"WFU"	0.044847611894735	0.000379280450801933	0.146021773276282	0.237887134458236
3010678	5806361044	"R03"	"WFU"	0.10524151713737	0.00167967056783702	0.0300021135302058	0.281998526334061
3010740	8221924139	"R06"	"WFU"	0.0536538778643215	0.220199393151279	0.0092617667767968	0.210597135787208
3010996	7810920063	"R03"	"WFU"	0.0456528766176354	0.00617685305591675	0.0653398715797326	0.133192170571504
3011135	5806361057	"R03"	"WFU"	0.168506290398782	0.000379280450801933	0.0640516611518153	0.240600127928373
3011607	5806361038	"R06"	"WFU"	0.0504207312358893	0.00200476809709582	0.0560580620700861	0.219377833434024
3011623	6190773033	"R06"	"WFU"	0.0169603294389159	0.00487646293888166	0.0174944483561718	0.154393192403319
3012140	6247004010	"R04"	"WFU"	0.0645056871590061	0.0006501950585176	0.049179439961003	0.274049732489522
3012697	6190773039	"R02"	"WFU"	0.0936034811162713	0.244653815248197	0.048529491415263	0.222777322365004
3012743	6229076132	"R04"	"WFU"	0.0640221130902284	0.017988729952319	0.129339760602286	0.223837992224303
3013189	6229076111	"R06"	"WFU"	0.0916766495988136	0.154144362265767	0.104660958492008	0.282549179280443
3013219	5806361014	"R06"	"WFU"	0.0582752816454423	0.00108365843086256	0.00314141797107725	0.255674458209325
3013510	5859594019	"R04"	"WFU"	0.081543794365071	0.0003250975292588	0.0260521042084169	0.241611738960907
3013529	7810920063	"R01"	"WFU"	0.0119275183879383	0.125541829215431	0.0931592915560852	0.176885811199361
3013910	6229076139	"R02"	"WFU"	0.0597065965010918	0.00130039011703509	0.095867410496669	0.202852999275438
3014010	5806361057	"R03"	"WFU"	0.0491041026719825	0.000108365843086267	0.0873907297336058	0.298128207304654
3014126	6190773038	"R01"	"WFU"	0.0838781925300542	0.00260078023407018	0.135460109408005	0.239937226174625
3014584	5806361014	"R01"	"WFU"	0.083893990977511	0.00254659731252704	0.00828684395818668	0.282622814532125
3014649	5806361049	"R05"	"WFU"	0.0404813468371765	0.000270914607715667	0.0256188051779234	0.26283644230758
3014703	5859594016	"R03"	"WFU"	0.10030045015553	0.00276332899869958	0.166061853436603	0.125037584418794
3014720	5806361038	"R03"	"WFU"	0.0320246368054973	0.000108365843086267	0.130144237361834	0.224618475115109
3014789	6247004010	"R03"	"WFU"	0.0586420322432875	0.000270914607715667	0.0210691653577425	0.193058686730356
3015033	5806361014	"R02"	"WFU"	0.0948761868214402	0.000108365843086267	0.0774582325908775	0.217434653309292
3015319	6190773023	"R01"	"WFU"	0.012800985300952	0.00113784135240569	0.070681904349239	0.214072675920964
3015335	5859594019	"R03"	"WFU"	0.151704090970194	0.00503901170351106	0.032629009658369	0.179620258325801
3015564	5806361015	"R06"	"WFU"	0.1456087281231	0.158291688455596	0.179494123381899	0.212217385848165
3015980	6229076132	"R05"	"WFU"	0.107284010781727	0.0222149978326831	0.0781021502464389	0.284732080664993
3016102	5806361050	"R04"	"WFU"	0.0610883812956581	0.00915691374078886	0.0883930022206575	0.176626292341947
3016340	6229017119	"R03"	"WFU"	0.0804915725198996	0	0.13760386046087	0.224793228890155
3016951	6229076105	"R03"	"WFU"	0.0296282125929729	0.00335934113567404	0.123227128781089	0.206342993495764
3017583	6229076139	"R02"	"WFU"	0.0606302736584988	0.00617685305591675	0.145750961382224	0.227395210051647
3017745	6229076135	"R04"	"WFU"	0.154128446133849	0.12937341168369	0.100146238422792	0.245649897726609
3017850	7507867013	"R06"	"WFU"	0.0282437742706189	0.00124620719549196	0.0426799545036018	0.228309846663148
3018067	5806361044	"R05"	"WFU"	0.0577149780240995	0.00363025574338971	0.0113199371716406	0.257836368645745
3018466	5806361044	"R01"	"WFU"	0.0767359594309014	0.000216731686172533	0.0626705760118115	0.299310461201133
3018490	5859594023	"R04"	"WFU"	0.140987446663222	0.0124620719549198	0.179819097654769	0.202047559720492
3018504	5806361057	"R05"	"WFU"	0.0887651151022526	0.000975292587776289	0.057412121540378	0.229882366902748
3019195	5806361038	"R02"	"WFU"	0.0937568256027391	0.000866926744690022	0.120998754265287	0.278756777554403
3019497	6055574023	"R03"	"WFU"	0.12184329248444	0.000812743823146889	0.0686237339543952	0.245144881530364
3019616	8221916140	"R06"	"WFU"	0.0605703465076181	0.00189640225400955	0.103023116770291	0.11358693128752
3019748	6229076132	"R06"	"WFU"	0.0781178480265264	0.00601430429128735	0.224178085901533	0.226049554100579
3019926	5806361015	"R04"	"WFU"	0.0853803763181079	0.000704377980060733	0.0398093484265829	0.233978589838737
3021467	6190773029	"R03"	"WFU"	0.0634944891812651	0.000541829215431333	0.0375886908953041	0.139055184305267
3021599	6190773033	"R04"	"WFU"	0.0419558723539645	0.000596012136974466	0.0647782050587662	0.206598117376036
3021742	8221924069	"R03"	"WFU"	0.0860192165456292	0.00325097529258778	0.0605535395114554	0.165527270853991
3022382	7800246106	"R06"	"WFU"	0.0807421309838821	0.0170134373645427	0.108758921262624	0.181682203642216
3022714	5806361015	"R01"	"WFU"	0.12397896576798	0.000379280450801933	0.140388885879868	0.290458306986433
3022730	6229076111	"R01"	"WFU"	0.0968216637998725	0.00108365843086256	0.0907761468883713	0.253931442300025
3022889	6229076135	"R03"	"WFU"	0.0960941119927128	0.0003250975292588	0.244128775114933	0.212286639754352
4010019	6229017114	"R04"	"COL"	0.0578299501162153	0.0381989596879063	0.0173319612197368	0.152093381825279
4010051	6229017114	"R04"	"COL"	0.0741706177642721	0.037229220300504	0.207437357885747	0.161054729611976
4010108	5854945002	"R03"	"COL"	0.0617456304677821	0.0595470307758994	0.224882196826085	0.188737514679938
4010116	5854945053	"R03"	"COL"	0.0697967390625914	5.41829215431333e-05	0.120613018713475	0.216839791578138
4010132	5854945042	"R05"	"COL"	0.0906498980031877	0.171109666233203	0.165444143646513	0.155037456075063
4010140	8221916053	"R01"	"COL"	0.0954029481765193	0.0136540962288687	0.0960840600119157	0.178691276999497
4010167	6190773023	"R06"	"COL"	0.0985100339111532	0.0348938014737755	0.0352055462275903	0.206267088193517
4010191	6229025160	"R01"	"COL"	0.11417405648928	0.00113784135240569	0.24215999566701	0.160451851959736
4010205	6229017153	"R05"	"COL"	0.097965332446733	0.109904785050962	0.424362237989492	0.235285238427136
4010213	5854671024	"R02"	"COL"	0.0485605231081399	0.000433463372345066	0.0703034592068301	0.21337928239072
4010248	7810920108	"R05"	"COL"	0.0748002712086683	0.131014304291287	0.151546335915073	0.225705133142654
4010256	7800246180	"R06"	"COL"	0.0655233564255947	0.119456009953536	0.210150029789308	0.204328625315059
4010264	7810920009	"R06"	"COL"	0.223544082365711	0.0269289120069354	0.0746357580024914	0.200478179853407
4010280	6229017142	"R01"	"COL"	0.303219163234338	0.00232986562635462	0.0579537453284948	0.265039734866973
4010302	5806361005	"R03"	"COL"	0.187904608690024	0.000379280450801933	0.188160103991767	0.272680162814759
4010345	7810920072	"R03"	"COL"	0.0752858078426231	0.0106740355439965	0.0644532307858962	0.130434844563549
4010388	7810920009	"R05"	"COL"	0.0941196616258656	0.0242197659297789	0.143963602881439	0.194094666620218
4010418	6229076048	"R04"	"COL"	0.113697146720113	0.0564510473633738	0.124573471266858	0.209366109227393
4010434	5854945024	"R02"	"COL"	0.093863697490385	0.331382748157781	0.211528871828309	0.210898230025359
4010469	6229017113	"R06"	"COL"	0.253400159398634	0.323417858690941	0.0932134539348968	0.12597876536307
4010477	8221924080	"R01"	"COL"	0.0753096021752891	0.0042804508019072	0.00530791312354439	0.154178894682681
4010493	6190773038	"R04"	"COL"	0.101841376334754	0.0006501950585176	0.0645596643902028	0.258223166035044
4010515	6229017114	"R03"	"COL"	0.0811697940540931	0.00151712180320762	0.169086578633006	0.261019506601342
4010523	7810920063	"R02"	"COL"	0.0870765555526378	0.0167425227568271	0.106561773657901	0.15399379631133
4010531	5854945038	"R04"	"COL"	0.0484094061219036	0.0242292441625533	0.101022416724766	0.186659688322244
4010558	5859594016	"R06"	"COL"	0.0763649820341966	0.00189640225400955	0.121876149439483	0.214838029900039
4010566	6229017157	"R05"	"COL"	0.0776691177009716	0.0261161681837885	0.0871558439514468	0.311063561783336
4010574	6929718155	"R05"	"COL"	0.085446379093554	0.126571304724751	0.013757244218166	0.22233412909684
4010604	6229017158	"R02"	"COL"	0.088769085650653	0.17695854102525	0.172507176515193	0.133708862901329
4010680	6229076135	"R02"	"COL"	0.0736169114125724	0.00720632856523629	0.094579454421206	0.24189663567382
4010701	5854945036	"R05"	"COL"	0.141864564027415	0.00346770697876031	0.222282402643124	0.25045222093874
4010710	5806361045	"R05"	"COL"	0.0846694216821136	0.00167967056783702	0.126090017873585	0.231172173407326
4010728	6229076132	"R06"	"COL"	0.0887904127912395	0.0193974859124404	0.247684558305801	0.27278455396935
4010752	5806361057	"R01"	"COL"	0.371902396689861	0.00938757568751269	0.0916157357008585	0.347488053392561
4010787	6229076132	"R03"	"COL"	0.0970847441107363	0.00157130472475075	0.13237285381574	0.158572973663771
4010817	5854945053	"R06"	"COL"	0.284467808367657	0.0362483745123537	0.160873617742976	0.250705566300003
4010833	8221916118	"R05"	"COL"	0.225374953923123	0.00130039011703509	0.0648865298163895	0.221727662095504
4010841	6229076168	"R05"	"COL"	0.340016538051417	0.000541829215431333	0.202545740712729	0.276092002001715
4010906	5854671015	"R04"	"COL"	0.138575838689555	0.235695708712614	0.227806965281915	0.233161547827938
4010973	8221924080	"R06"	"COL"	0.129883759286017	0.368443866493281	0.130431635323854	0.177862063939356
4010981	6229017156	"R05"	"COL"	0.0985024203837015	0.0149544863459038	0.117261550127282	0.210787976362347
4010990	8221916052	"R02"	"COL"	0.103401777762376	0.174739921976593	0.0894762497968911	0.299516716338003
4011082	5806361008	"R01"	"COL"	0.264803004105076	0.000433463372345066	0.239343551968802	0.305004435190159
4011090	6229025160	"R02"	"COL"	0.152341209624973	0.0147377546597313	0.071873476683096	0.161431740856882
